DataBase,Count_Desired,Year,Count_Worked_with
MySQL,16375,2017,9877
SQLite,7838,2017,5798
MongoDB,6192,2017,9823
Redis,4143,2017,6181
SQL Server,11358,2017,7353
PostgreSQL,7815,2017,8121
Oracle,4874,2017,3034
Cassandra,906,2017,3151
Redis,14188,2018,11944
SQL Server,16247,2018,27293
MySQL,21965,2018,38909
PostgreSQL,20013,2018,21776
Amazon RDS/Aurora,4630,2018,3388
"Microsoft Azure (Tables, CosmosDB, SQL, etc)",8325,2018,5203
Oracle,4351,2018,7376
IBM Db2,905,2018,1677
Amazon DynamoDB,6061,2018,3454
Apache Hive,2653,2018,1438
Neo4j,3790,2018,1572
MongoDB,20926,2018,17183
MariaDB,7128,2018,8853
Apache HBase,2312,2018,1107
Elasticsearch,14058,2018,9312
SQLite,8423,2018,13036
Google BigQuery,5036,2018,1384
Memcached,3587,2018,3615
Google Cloud Storage,7515,2018,3634
Cassandra,5780,2018,2444
Amazon Redshift,3183,2018,1464
MySQL,25750,2019,40537
PostgreSQL,26446,2019,25758
SQLite,17807,2019,23713
Couchbase,2469,2019,1517
Firebase,11921,2019,9612
MongoDB,23667,2019,19100
Oracle,7299,2019,12353
Cassandra,6056,2019,2597
DynamoDB,6126,2019,4629
Elasticsearch,15440,2019,10720
Redis,17913,2019,13971
Microsoft SQL Server,16225,2019,24590
MariaDB,9986,2019,12401
Other(s):,4516,2019,5059
Microsoft SQL Server,9876,2020,16336
MySQL,15734,2020,27559
PostgreSQL,17681,2020,17892
MongoDB,16024,2020,13086
Firebase,8600,2020,7128
Cassandra,4227,2020,1654
Elasticsearch,10269,2020,6817
MariaDB,6126,2020,8312
Redis,11977,2020,9056
SQLite,10909,2020,15434
Oracle,4794,2020,8155
DynamoDB,4773,2020,3497
Couchbase,1678,2020,937
IBM DB2,935,2020,1421
