Desired Language,Count_Desired,Year,Language Worked_with,Count_Worked_with
Swift,2368,2017,Swift,4530
JavaScript,22875,2017,JavaScript,16327
Python,11704,2017,Python,12570
Ruby,3324,2017,Ruby,3966
SQL,18754,2017,SQL,11217
Java,14524,2017,Java,9988
PHP,10290,2017,PHP,5365
Matlab,1569,2017,Matlab,931
R,1634,2017,R,2628
Rust,416,2017,Rust,2718
CoffeeScript,1192,2017,CoffeeScript,1032
Clojure,391,2017,Clojure,1308
Elixir,380,2017,Elixir,1565
Erlang,281,2017,Erlang,1053
Haskell,649,2017,Haskell,2306
C#,12476,2017,C#,10187
Objective-C,2349,2017,Objective-C,1844
C,6974,2017,C,4841
C++,8155,2017,C++,7647
Assembly,1823,2017,Assembly,1923
VB.NET,2273,2017,VB.NET,804
Perl,1585,2017,Perl,1089
Scala,1309,2017,Scala,3122
F#,457,2017,F#,2034
TypeScript,3488,2017,TypeScript,5692
Lua,1039,2017,Lua,1117
VBA,1574,2017,VBA,445
Groovy,1193,2017,Groovy,866
Go,1557,2017,Go,5770
Smalltalk,327,2017,Smalltalk,421
Visual Basic 6,1071,2017,Visual Basic 6,295
Common Lisp,273,2017,Common Lisp,647
Dart,145,2017,Dart,496
Julia,138,2017,Julia,515
Hack,107,2017,Hack,338
JavaScript,38465,2018,JavaScript,54686
Python,32795,2018,Python,30359
HTML,31789,2018,HTML,53628
CSS,30199,2018,CSS,50979
Go,15529,2018,Go,5532
C#,20419,2018,C#,26954
SQL,28011,2018,SQL,44670
TypeScript,16896,2018,TypeScript,13626
Bash/Shell,20751,2018,Bash/Shell,31172
Assembly,4165,2018,Assembly,5760
C,10316,2018,C,18042
C++,15289,2018,C++,19872
Matlab,2105,2018,Matlab,4564
Java,22556,2018,Java,35521
Kotlin,11992,2018,Kotlin,3508
Erlang,2760,2018,Erlang,886
Rust,7857,2018,Rust,1857
F#,3752,2018,F#,1115
Haskell,5117,2018,Haskell,1961
Ocaml,1143,2018,Ocaml,470
R,7041,2018,R,4813
Swift,9708,2018,Swift,6310
PHP,12244,2018,PHP,24071
Scala,6219,2018,Scala,3420
Ruby,7824,2018,Ruby,7911
Clojure,2710,2018,Clojure,1032
CoffeeScript,1856,2018,CoffeeScript,2603
Perl,1929,2018,Perl,3280
Delphi/Object Pascal,1026,2018,Delphi/Object Pascal,2025
Groovy,2045,2018,Groovy,3373
Hack,730,2018,Hack,254
VB.NET,1546,2018,VB.NET,5254
Julia,1354,2018,Julia,430
Objective-C,3549,2018,Objective-C,5510
VBA,1067,2018,VBA,3810
Lua,2336,2018,Lua,2733
Visual Basic 6,690,2018,Visual Basic 6,3087
Cobol,464,2018,Cobol,590
C,11143,2019,C,18017
C++,16856,2019,C++,20524
C#,22449,2019,C#,27097
Go,17060,2019,Go,7201
HTML/CSS,36645,2019,HTML/CSS,55466
Java,23508,2019,Java,35917
JavaScript,44739,2019,JavaScript,59219
Python,40006,2019,Python,36443
SQL,33566,2019,SQL,47544
Elixir,3788,2019,Elixir,1260
WebAssembly,8440,2019,WebAssembly,1015
Scala,5562,2019,Scala,3309
Bash/Shell/PowerShell,21303,2019,Bash/Shell/PowerShell,31991
Erlang,2124,2019,Erlang,777
Ruby,7251,2019,Ruby,7331
Rust,10497,2019,Rust,2794
TypeScript,23720,2019,TypeScript,18523
Other(s):,7912,2019,Other(s):,7920
Kotlin,13261,2019,Kotlin,5620
R,6734,2019,R,5048
Assembly,4659,2019,Assembly,5833
Objective-C,2851,2019,Objective-C,4191
PHP,12837,2019,PHP,23030
Swift,8800,2019,Swift,5744
VBA,1641,2019,VBA,4781
Clojure,2752,2019,Clojure,1254
Dart,4429,2019,Dart,1683
F#,3521,2019,F#,973
C#,13674,2020,C#,18041
HTML/CSS,20771,2020,HTML/CSS,36181
JavaScript,26188,2020,JavaScript,38822
Python,26682,2020,Python,25287
Swift,5643,2020,Swift,3397
Objective-C,1525,2020,Objective-C,2340
Java,13264,2020,Java,23074
Ruby,4184,2020,Ruby,4046
Scala,3465,2020,Scala,2052
PHP,7106,2020,PHP,15007
Rust,10563,2020,Rust,2929
R,4271,2020,R,3288
SQL,19970,2020,SQL,31413
Go,12605,2020,Go,5038
TypeScript,17150,2020,TypeScript,14578
Assembly,2469,2020,Assembly,3553
Bash/Shell/PowerShell,11728,2020,Bash/Shell/PowerShell,18980
C,6091,2020,C,12487
Haskell,2996,2020,Haskell,1222
Perl,1150,2020,Perl,1796
C++,9756,2020,C++,13707
Julia,1661,2020,Julia,519
Kotlin,9575,2020,Kotlin,4468
Dart,4742,2020,Dart,2280
VBA,1055,2020,VBA,3499
